id;reward;name;country;budget;fees;kinopoisk_rating;imdb_rating
326;Лучшие 500 фильмов;Побег из Шоушенка;США;1675000000;4009378423;9.112;9.3
435;Лучшие 500 фильмов;Зеленая миля;США;4020000000;19215692058;9.062;8.5
448;Лучшие 500 фильмов;Форрест Гамп;США;3685000000;45384907962;8.916;8.8
329;Лучшие 500 фильмов;Список Шиндлера;США;1474000000;21524806456;8.819;8.9
535341;Лучшие 500 фильмов;1+1;Франция;722000000;28581430170;8.809;8.5
389;Лучшие 500 фильмов;Леон;Франция;0;1306582946;8.682;8.6
447301;Лучшие 500 фильмов;Начало;США, Великобритания;10720000000;55310695188;8.665;8.8
2360;Лучшие 500 фильмов;Король Лев;США;3015000000;66161413059;8.774;8.5
361;Лучшие 500 фильмов;Бойцовский клуб;США, Германия;4221000000;6757201451;8.649;8.8
42664;Лучшие 500 фильмов;Иван Васильевич меняет профессию;СССР;0;0;8.784;8.4
381;Лучшие 500 фильмов;Жизнь прекрасна;Италия;1340000000;15353938688;8.628;8.6
32898;Лучшие 500 фильмов;Достучаться до небес;Германия;0;382570;8.631;8.0
325;Лучшие 500 фильмов;Крестный отец;США;402000000;16419449537;8.735;9.2
342;Лучшие 500 фильмов;Криминальное чтиво;США;536000000;14333227054;8.619;8.9
195334;Лучшие 500 фильмов;Престиж;США, Великобритания;2680000000;7348312837;8.524;8.5
530;Лучшие 500 фильмов;Игры разума;США;3886000000;21007336847;8.557;8.2
42782;Лучшие 500 фильмов;Операция «Ы» и другие приключения Шурика;СССР;0;0;8.715;8.6
474;Лучшие 500 фильмов;Гладиатор;США, Великобритания;6901000000;30661908609;8.586;8.5
258687;Лучшие 500 фильмов;Интерстеллар;США, Великобритания;11055000000;45233041139;8.586;8.6
3498;Лучшие 500 фильмов;Властелин колец: Возвращение Короля;США, Новая Зеландия;6298000000;74980433047;8.616;8.9
476;Лучшие 500 фильмов;Назад в будущее;США;1273000000;25534354054;8.626;8.5
522;Лучшие 500 фильмов;Карты, деньги, два ствола;Великобритания;81600000;251513243;8.544;8.2
46225;Лучшие 500 фильмов;Бриллиантовая рука;СССР;0;0;8.525;8.5
301;Лучшие 500 фильмов;Матрица;США;4221000000;31055664661;8.491;8.7
324;Лучшие 500 фильмов;Поймай меня, если сможешь;США, Канада;3484000000;23591658904;8.514;8.1
81314;Лучшие 500 фильмов;Отступники;США, Гонконг;6030000000;19419772718;8.456;8.5
355;Лучшие 500 фильмов;Пианист;Польша, Франция, Великобритания, Германия;2345000000;8044862659;8.47;8.5
25108;Лучшие 500 фильмов;В бой идут одни «старики»;СССР;33500000;0;8.709;8.5
328;Лучшие 500 фильмов;Властелин колец: Братство кольца;США, Новая Зеландия;6231000000;58392531708;8.563;8.8
279102;Лучшие 500 фильмов;ВАЛЛ·И;США;12060000000;34924971879;8.303;8.4
679486;Лучшие 500 фильмов;Тайна Коко;США;0;54074507132;8.632;8.4
526;Лучшие 500 фильмов;Большой куш;Великобритания, США;670000000;5598377424;8.532;8.3
312;Лучшие 500 фильмов;Властелин колец: Две крепости;США, Новая Зеландия;6298000000;61993927768;8.56;8.7
382;Лучшие 500 фильмов;Американская история X;США;1340000000;1599633509;8.297;8.5
44386;Лучшие 500 фильмов;Джентльмены удачи;СССР;0;0;8.525;8.5
4374;Лучшие 500 фильмов;Пираты Карибского моря: Проклятие Черной жемчужины;США;9380000000;43835689005;8.337;8.0
397667;Лучшие 500 фильмов;Остров проклятых;США;5360000000;19751881065;8.492;8.1
336;Лучшие 500 фильмов;Пролетая над гнездом кукушки;США;201000000;7301745425;8.552;8.7
111543;Лучшие 500 фильмов;Темный рыцарь;США, Великобритания;12395000000;67305415748;8.504;9.0
2213;Лучшие 500 фильмов;Титаник;США;13400000000;146419944234;8.369;7.8
346;Лучшие 500 фильмов;12 разгневанных мужчин;США;22780000;0;8.511;8.9
4871;Лучшие 500 фильмов;Запах женщины;США;2077000000;8984381951;8.457;8.0
2950;Лучшие 500 фильмов;Пробуждение;США;0;3490463825;8.443;7.8
356;Лучшие 500 фильмов;В джазе только девушки;США;193217816;1675000000;8.466;8.2
387556;Лучшие 500 фильмов;Хатико: Самый верный друг;Великобритания, США;1072000000;137138280;8.343;8.1
348;Лучшие 500 фильмов;Эта замечательная жизнь;США;213060000;0;8.463;8.6
414;Лучшие 500 фильмов;Огни большого города;США;100500000;1285127;8.517;8.5
349;Лучшие 500 фильмов;Хороший, плохой, злой;Италия, Испания, Германия (ФРГ);80400000;1681700000;8.538;8.9
370;Лучшие 500 фильмов;Унесённые призраками;Япония;1273000000;18419981365;8.429;8.6
43395;Лучшие 500 фильмов;...А зори здесь тихие;СССР;0;0;8.503;8.3
44745;Лучшие 500 фильмов;Кавказская пленница, или Новые приключения Шурика;СССР;0;0;8.46;8.4
51481;Лучшие 500 фильмов;Хористы;Франция, Швейцария, Германия;418000000;5599871390;8.278;7.9
77263;Лучшие 500 фильмов;Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей ;СССР;0;0;8.6;8.8
377;Лучшие 500 фильмов;Семь;США;2211000000;21929894553;8.296;8.6
345;Лучшие 500 фильмов;Молчание ягнят;США;1273000000;18273775774;8.335;8.6
4541;Лучшие 500 фильмов;Шоу Трумана;США;4020000000;17695919467;8.254;8.1
280172;Лучшие 500 фильмов;Как приручить дракона;США;11055000000;33156876853;8.205;8.1
586397;Лучшие 500 фильмов;Джанго освобожденный;США;6700000000;28473887733;8.178;8.4
444;Лучшие 500 фильмов;Терминатор 2: Судный день;США, Франция;6834000000;34829504115;8.306;8.5
327;Лучшие 500 фильмов;Крестный отец 2;США;871000000;6874200000;8.543;9.0
12244;Лучшие 500 фильмов;Нокдаун;США;5896000000;7272174037;8.205;8.0
77335;Лучшие 500 фильмов;Собачье сердце ;СССР;0;0;8.341;8.9
12198;Лучшие 500 фильмов;Игра;США;3350000000;7331384416;8.255;7.8
399;Лучшие 500 фильмов;Храброе сердце;США;4824000000;14097466315;8.283;8.4
77269;Лучшие 500 фильмов;Шерлок Холмс и доктор Ватсон: Знакомство ;СССР;0;0;8.556;8.7
46708;Лучшие 500 фильмов;Москва слезам не верит;СССР;60300000;167500000;8.371;8.2
725190;Лучшие 500 фильмов;Одержимость;США;221100000;3281796747;8.324;8.5
408410;Лучшие 500 фильмов;Гран Торино;Германия, США;2211000000;18087201276;8.13;8.1
470553;Лучшие 500 фильмов;Прислуга;США, Индия, ОАЭ;1675000000;14514820504;8.163;8.1
519;Лучшие 500 фильмов;Человек дождя;США;1675000000;23773304145;8.25;8.0
775276;Лучшие 500 фильмов;Зверополис;США;10050000000;68593541065;8.302;8.0
7724;Лучшие 500 фильмов;Летят журавли;СССР;0;0;8.291;8.3
627;Лучшие 500 фильмов;Изгой;США;6030000000;28785353514;8.253;7.8
42736;Лучшие 500 фильмов;Офицеры;СССР;0;0;8.453;7.8
395;Лучшие 500 фильмов;Шестое чувство;США;2680000000;45078021564;8.174;8.1
2127;Лучшие 500 фильмов;Малыш;США;16750000;365150000;8.245;8.3
104938;Лучшие 500 фильмов;В погоне за счастьем;США;3685000000;20443685009;8.251;8.0
371;Лучшие 500 фильмов;Спасти рядового Райана;США;4690000000;32283340903;8.179;8.6
46068;Лучшие 500 фильмов;Белый Бим Черное ухо;СССР;0;0;8.371;8.4
5167;Лучшие 500 фильмов;Эффект бабочки;США, Канада;871000000;6436077486;8.169;7.7
44027;Лучшие 500 фильмов;Судьба человека;СССР;0;0;8.366;8.1
5502;Лучшие 500 фильмов;Назад в будущее 2;США;2680000000;22240650134;8.287;7.8
540;Лучшие 500 фильмов;Красавица и чудовище;США;1675000000;28472830540;8.275;8.0
469;Лучшие 500 фильмов;Однажды в Америке;США, Италия;2010000000;356541036;8.276;8.4
3561;Лучшие 500 фильмов;Дневник памяти;США;1943000000;7740757900;8.259;7.9
63912;Лучшие 500 фильмов;Укрощение строптивого;Италия;0;0;8.387;7.7
497;Лучшие 500 фильмов;Римские каникулы;США;100500000;804000000;8.282;8.1
7097;Лучшие 500 фильмов;Балто;США;0;760337708;8.332;7.1
456;Лучшие 500 фильмов;Унесенные ветром;США;266459000;26811822753;8.388;8.2
437410;Лучшие 500 фильмов;Темный рыцарь: Возрождение легенды;Великобритания, США;16750000000;72657419633;8.138;8.4
43869;Лучшие 500 фильмов;Служебный роман;СССР;0;0;8.29;8.4
126196;Лучшие 500 фильмов;Жизнь других;Германия;134000000;5182251546;8.064;8.4
86326;Лучшие 500 фильмов;Счастливое число Слевина;Германия, Великобритания, США, Канада;1809000000;3772695027;8.114;7.8
397;Лучшие 500 фильмов;Амадей;США, Франция, Чехословакия;1206000000;3482192943;8.155;8.3
3797;Лучшие 500 фильмов;Адвокат дьявола;США, Германия;3819000000;10247292220;8.165;7.5
596125;Лучшие 500 фильмов;Гонка;Великобритания, Германия, США;2546000000;6046590808;8.082;8.1
84014;Лучшие 500 фильмов;…А в душе я танцую;Великобритания, Ирландия, Франция;0;1597548;8.114;7.9
354799;Лучшие 500 фильмов;Шерлок Холмс и доктор Ватсон: Смертельная схватка ;СССР;0;0;8.433;8.6
42770;Лучшие 500 фильмов;Они сражались за Родину;СССР;0;0;8.376;8.1
49684;Лучшие 500 фильмов;Ходячий замок;Япония;1608000000;15757335370;8.281;8.2
46019;Лучшие 500 фильмов;Баллада о солдате;СССР;0;0;8.242;8.1
41519;Лучшие 500 фильмов;Брат;Россия;0;0;8.224;8.0
278522;Лучшие 500 фильмов;Хоббит: Нежданное путешествие;США, Новая Зеландия;12060000000;68413939056;8.062;7.9
489;Лучшие 500 фильмов;Свидетель обвинения;США;201000000;0;8.146;8.4
81297;Лучшие 500 фильмов;Малышка на миллион;США;2010000000;14523164282;8.075;8.1
77265;Лучшие 500 фильмов;Шерлок Холмс и доктор Ватсон: Кровавая надпись ;СССР;0;0;8.419;8.5
281251;Лучшие 500 фильмов;Мальчик в полосатой пижаме;Великобритания, США;837500000;2707909721;8.174;7.8
44168;Лучшие 500 фильмов;Девчата;СССР;0;0;8.357;8.1
568289;Лучшие 500 фильмов;Богемская рапсодия;Великобритания, США;3484000000;47942063730;8.184;8.3
4996;Лучшие 500 фильмов;Общество мертвых поэтов;США;1098800000;15802627772;8.208;8.1
770;Лучшие 500 фильмов;Одиннадцать друзей Оушена;США;5695000000;30198049050;8.099;7.8
2494;Лучшие 500 фильмов;Казино;США, Франция;3484000000;7779529125;8.124;8.2
539550;Лучшие 500 фильмов;Артист;Франция, Бельгия;1005000000;8940001352;7.942;7.9
2656;Лучшие 500 фильмов;Пятый элемент;Франция;6030000000;17682652060;8.079;7.7
368937;Лучшие 500 фильмов;Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра ;СССР;0;0;8.388;8.5
527;Лучшие 500 фильмов;День сурка;США;978200000;4750767191;8.104;8.0
920265;Лучшие 500 фильмов;Человек-паук: Через вселенные;США;6030000000;15719660533;8.147;8.7
8124;Лучшие 500 фильмов;Один дома;США;1206000000;31937873225;8.233;7.5
8219;Лучшие 500 фильмов;Могила светлячков;Япония;247900000;0;8.181;8.5
408;Лучшие 500 фильмов;Новые времена;США;100500000;10959659;8.107;8.5
44238;Лучшие 500 фильмов;Добро пожаловать, или Посторонним вход воспрещен;СССР;0;0;8.266;8.2
10156;Лучшие 500 фильмов;Как украсть миллион;США;402000000;0;8.216;7.6
450213;Лучшие 500 фильмов;Невидимая сторона;США;1943000000;20714911126;8.151;7.7
439;Лучшие 500 фильмов;Город Бога;Бразилия, Франция;221100000;1834954527;8.016;8.6
8335;Лучшие 500 фильмов;Легенда о пианисте;Италия;603000000;11218145;8.142;8.1
2361;Лучшие 500 фильмов;Аладдин;США;1876000000;33771364673;8.127;8.0
