id;reward;name;country;budget;fees;kinopoisk_rating;imdb_rating
979148;Номинация оскар за лучший адаптированный сценарий;Назови меня своим именем;Италия, Франция, Бразилия, США;304000000;2806468865;7.504;7.9
939981;Номинация оскар за лучший адаптированный сценарий;Лунный свет;США;100500000;4358128029;6.15;7.4
501333;Номинация оскар за лучший адаптированный сценарий;Игра на понижение;США;1876000000;8934215902;7.269;7.8
635772;Номинация оскар за лучший адаптированный сценарий;Игра в имитацию;США;938000000;15260873142;7.605;8.0
606646;Номинация оскар за лучший адаптированный сценарий;12 лет рабства;США, Великобритания;1340000000;11950923531;7.71;8.1
462487;Номинация оскар за лучший адаптированный сценарий;Операция «Арго»;США;2981500000;15565716576;7.517;7.7
395369;Номинация оскар за лучший адаптированный сценарий;Потомки;США;1340000000;11875293395;6.868;7.3
427198;Номинация оскар за лучший адаптированный сценарий;Социальная сеть;США;3350000000;15069661105;7.728;7.7
397952;Номинация оскар за лучший адаптированный сценарий;Сокровище;США;670000000;4264404811;7.195;7.3
413362;Номинация оскар за лучший адаптированный сценарий;Миллионер из трущоб;Великобритания, США, Франция, Германия, Индия;1005000000;25320006448;7.723;8.0
195434;Номинация оскар за лучший адаптированный сценарий;Старикам тут не место;США;1675000000;11499020122;7.725;8.1
81314;Номинация оскар за лучший адаптированный сценарий;Отступники;США, Гонконг;6030000000;19419772718;8.456;8.5
77647;Номинация оскар за лучший адаптированный сценарий;Горбатая гора;США, Канада;938000000;11928931987;7.564;7.7
61274;Номинация оскар за лучший адаптированный сценарий;На обочине;США, Венгрия;1072000000;7325420143;6.989;7.5
3498;Номинация оскар за лучший адаптированный сценарий;Властелин колец: Возвращение Короля;США, Новая Зеландия;6298000000;74980433047;8.616;8.9
355;Номинация оскар за лучший адаптированный сценарий;Пианист;Польша, Франция, Великобритания, Германия;2345000000;8044862659;8.47;8.5
530;Номинация оскар за лучший адаптированный сценарий;Игры разума;США;3886000000;21007336847;8.557;8.2
499;Номинация оскар за лучший адаптированный сценарий;Траффик;США, Германия;3216000000;13903553575;7.181;7.6
6180;Номинация оскар за лучший адаптированный сценарий;Правила виноделов;США;1608000000;5932521164;7.671;7.4
3502;Номинация оскар за лучший адаптированный сценарий;Боги и монстры;США, Великобритания;670000000;432259076;7.131;7.5
363;Номинация оскар за лучший адаптированный сценарий;Секреты Лос-Анджелеса;США;2345000000;8456534980;7.932;8.3
479;Номинация оскар за лучший адаптированный сценарий;Отточенное лезвие;США;67000000;1637756107;7.693;8.0
6148;Номинация оскар за лучший адаптированный сценарий;Разум и чувства;США, Великобритания;1105500000;9017045992;7.9;7.7
448;Номинация оскар за лучший адаптированный сценарий;Форрест Гамп;США;3685000000;45384907962;8.916;8.8
329;Номинация оскар за лучший адаптированный сценарий;Список Шиндлера;США;1474000000;21524806456;8.819;8.9
7740;Номинация оскар за лучший адаптированный сценарий;Усадьба Хауардс-Энд;Великобритания, Япония, США;0;1739759185;7.083;7.5
345;Номинация оскар за лучший адаптированный сценарий;Молчание ягнят;США;1273000000;18273775774;8.335;8.6
2037;Номинация оскар за лучший адаптированный сценарий;Танцующий с волками;США, Великобритания;1474000000;28421992816;8.111;8.0
6066;Номинация оскар за лучший адаптированный сценарий;Шофер мисс Дэйзи;США;502500000;9768150832;7.645;7.4
3810;Номинация оскар за лучший адаптированный сценарий;Опасные связи;США, Великобритания;938000000;2322938240;7.854;7.6
7663;Номинация оскар за лучший адаптированный сценарий;Последний император;Великобритания, Италия, Китай, Франция;1675000000;2946943410;7.893;7.8
6742;Номинация оскар за лучший адаптированный сценарий;Комната с видом;Великобритания;201000000;1404765148;7.115;7.4
1895;Номинация оскар за лучший адаптированный сценарий;Из Африки;США, Великобритания;2077000000;8609446735;7.583;7.2
397;Номинация оскар за лучший адаптированный сценарий;Амадей;США, Франция, Чехословакия;1206000000;3482192943;8.155;8.3
2561;Номинация оскар за лучший адаптированный сценарий;Язык нежности;США;536000000;11002973763;7.397;7.4
7706;Номинация оскар за лучший адаптированный сценарий;Пропавший без вести;США;0;938000000;7.345;7.8
7686;Номинация оскар за лучший адаптированный сценарий;На Золотом пруду;Великобритания, США;0;7992123944;7.803;7.7
2810;Номинация оскар за лучший адаптированный сценарий;Обыкновенные люди;США;402000000;3669383841;7.259;7.8
1902;Номинация оскар за лучший адаптированный сценарий;Крамер против Крамера;США;536000000;7119420000;7.996;7.8
7687;Номинация оскар за лучший адаптированный сценарий;Полуночный экспресс;Великобритания, США;154100000;2345000000;7.867;7.6
1904;Номинация оскар за лучший адаптированный сценарий;Джулия;США;525280000;1387864800;7.082;7.3
493;Номинация оскар за лучший адаптированный сценарий;Вся президентская рать;США;569500000;4730200000;7.53;8.0
336;Номинация оскар за лучший адаптированный сценарий;Пролетая над гнездом кукушки;США;201000000;7301745425;8.552;8.7
327;Номинация оскар за лучший адаптированный сценарий;Крестный отец 2;США;871000000;6874200000;8.543;9.0
383;Номинация оскар за лучший адаптированный сценарий;Афера;США;368500000;10452000000;8.145;8.3
491;Номинация оскар за лучший адаптированный сценарий;Изгоняющий дьявола;США;804000000;29551757737;7.718;8.0
325;Номинация оскар за лучший адаптированный сценарий;Крестный отец;США;402000000;16419449537;8.735;9.2
1325;Номинация оскар за лучший адаптированный сценарий;Кандидат;США;0;0;6.567;7.1
567;Номинация оскар за лучший адаптированный сценарий;Французский связной;США;120600000;3463900000;7.572;7.8
1688;Номинация оскар за лучший адаптированный сценарий;Больница;США;0;1320674520;7.031;7.2
537;Номинация оскар за лучший адаптированный сценарий;Военно-полевой госпиталь М.Э.Ш.;США;234500000;5467200000;7.41;7.6
433;Номинация оскар за лучший адаптированный сценарий;Паттон;США;804000000;4137234255;6.974;8.0
421;Номинация оскар за лучший адаптированный сценарий;Буч Кэссиди и Сандэнс Кид;США;402000000;6854695563;8.008;8.1
506;Номинация оскар за лучший адаптированный сценарий;Полуночный ковбой;США;241200000;3536598551;7.77;7.9
514;Номинация оскар за лучший адаптированный сценарий;Лев зимой;Великобритания, США;268000000;1492557325;7.803;8.1
547;Номинация оскар за лучший адаптированный сценарий;Полуночная жара;США;134000000;1633458526;7.63;8.0
564;Номинация оскар за лучший адаптированный сценарий;Человек на все времена;Великобритания;134000000;1899450000;7.407;7.9
